Ticker,Price,Market Capitalization,Number Of Shares to Buy
MCHP,83.4,45123177853.0,237
MCK,474.55,63144802257.0,41
MCO,374.49,68531670000.0,52
MDLZ,73.28,99726428469.0,270
MDT,83.93,111597886322.0,235
MET,67.49,49955438555.0,293
MGM,44.35,15149222947.0,446
MHK,100.71,6413212800.0,196
MKC,68.05,18273611378.0,290
MKTX,275.39,10438781325.0,71
MLM,486.07,30042606747.0,40
MMC,191.49,94418441344.0,103
MMM,108.17,59744134000.0,183
MNST,57.71,60043870193.0,343
MO,41.52,73434209904.0,476
MOS,35.72,11674562453.0,554
MPC,153.4,58245562292.0,129
MRK,117.01,296506041059.0,169
MRO,24.18,14151281116.0,818
MS,92.15,151246862097.0,214
MSCI,559.72,44268920867.0,35
MSFT,367.94,2734626601332.0,53
MSI,311.75,51750500000.0,63
MTB,136.29,22618733785.0,145
MTD,1149.32,24921627315.0,17
MU,82.71,90567450000.0,239
MXIM,103.14,27699922819.0,191
MYL,15.855,8586211830.0,1248
NBL,8.45,4095292500.0,2343
NCLH,17.65,7508750085.0,1121
NDAQ,56.03,32327324857.0,353
NEE,61.8,126795538394.0,320
NEM,40.12,31887383743.0,493
NFLX,474.67,209706836447.0,41
NI,26.86,11104338745.0,737
NKE,102.3,159588000000.0,193
NLOK,21.62,12352934758.0,915
NLSN,27.98,10068164861.0,707
NOC,471.73,71133395557.0,41
NOV,20.06,7902175540.0,987
NOW,671.87,137733350000.0,29
NRG,51.29,11579457922.0,386
NSC,231.02,52151003010.0,85
NTAP,86.06,17731031905.0,230
NTRS,82.36,17051515433.0,240
NUE,172.07,42301516558.0,115
NVDA,479.98,1185550600000.0,41
NVR,6912.71,22016684103.0,2
NWL,8.34,3454428000.0,2374
NWS,25.38,14084776986.0,780
NWSA,24.24,14084776981.0,816
O,57.69,41763155022.0,343
ODFL,389.26,42473580956.0,50
OKE,70.87,41285370519.0,279
OMC,85.09,16842218525.0,232
ORCL,102.59,282011907980.0,193
ORLY,935.8,55363963365.0,21
OTIS,87.68,35883813601.0,225
OXY,59.12,52047523883.0,334
PAYC,196.5,11834834423.0,100
PAYX,117.85,42405002194.0,168
PBCT,19.41,8371850392.0,1020
PCAR,93.78,49054052463.0,211
PEAK,19.66,10755481800.0,1007
PEG,61.79,30790840721.0,320
PEP,171.47,235747923393.0,115
PFE,29.09,164254162664.0,680
PFG,79.39,18927537651.0,249
PG,148.65,350351135265.0,133
PGR,163.0,95361667841.0,121
PH,452.06,58078780997.0,43
PHM,100.31,21626332444.0,197
PKG,165.67,14848057284.0,119
PKI,115.24,14455821070.0,171
PLD,130.29,120384181590.0,151
PM,95.66,148503157099.0,207
PNC,152.53,60758969508.0,129
PNR,68.93,11394057244.0,287
PNW,74.32,8427765075.0,266
PPG,144.91,34169778000.0,136
PPL,27.62,20359375624.0,716
PRGO,33.59,4551662966.0,589
PRU,102.88,37139680000.0,192
PSA,300.18,52780489104.0,65
PSX,135.28,59517190186.0,146
PVH,117.25,6992497696.0,168
PWR,200.07,29067147942.0,98
PXD,229.62,53572385944.0,86
PYPL,58.45,64295000000.0,338
QCOM,136.17,151557210000.0,145
QRVO,102.99,10025639307.0,192
RCL,119.0,30491977376.0,166
RE,351.28,13796600687.0,56
REG,65.58,12104820734.0,301
REGN,912.17,97719712158.0,21
RF,18.97,17643331874.0,1043
RHI,83.1,8799870761.0,238
RJF,110.17,22982206639.0,179
RL,142.64,9668139200.0,138
RMD,167.58,24649662278.0,118
ROK,304.67,34937280629.0,64
ROL,42.79,20711979944.0,462
ROP,524.17,55992949068.0,37
ROST,135.27,45540845802.0,146
RSG,164.16,51650728332.0,120
RTX,85.41,122811148666.0,231
SBAC,249.89,26960632100.0,79
SBUX,93.55,106338285000.0,211
SCHW,66.89,118507786171.0,296
SEE,36.25,5235791008.0,546
SHW,295.77,75707090439.0,66
SIVB,106.04,6285481871.0,186
SJM,128.64,13654339461.0,153
SLB,51.69,73576612933.0,383
SLG,44.39,2859457269.0,446
SNA,282.07,14887654600.0,70
SNPS,490.18,74500927858.0,40
SO,71.71,78208313517.0,276
SPG,140.26,45758340067.0,141
SPGI,429.67,143080110000.0,46
SRE,75.96,23901084797.0,260
STE,216.0,21340834776.0,91
STT,77.38,23878192081.0,255
STX,80.77,16861545200.0,245
STZ,242.33,44506977487.0,81
SWK,94.32,14460332380.0,209
SWKS,103.22,16510541372.0,191
SYF,37.44,15492835238.0,528
SYK,298.05,113227600433.0,66
SYY,75.12,37888422386.0,263
T,17.15,122279500000.0,1154
TAP,61.31,12489045215.0,322
TDG,975.53,53960567875.0,20
TDY,438.19,20675862378.0,45
TEL,132.46,41165822767.0,149
TFC,36.97,49305708807.0,535
TFX,241.06,11329820000.0,82
TGT,140.25,64748067450.0,141
TIF,131.46,15960711882.0,150
TJX,92.78,105739214988.0,213
TMO,537.36,207621030413.0,36
TMUS,162.3,187695902238.0,122
TPR,36.9,8456979009.0,536
TROW,106.06,23666675867.0,186
TRV,192.54,43976029333.0,102
TSCO,215.04,23248878428.0,92
TSN,54.16,19477560800.0,365
TT,239.69,54543133974.0,82
TTWO,158.86,27016942113.0,124
TWTR,53.7,41093718362.0,368
TXN,164.465,149367786155.0,120
TXT,78.65,15415829193.0,251
TYL,401.39,16908227019.0,49
UA,7.57,3125883855.0,2615
UAA,7.94,3522092849.0,2493
UAL,40.47,13274844550.0,489
UDR,37.86,12453219153.0,523
UHS,152.18,11104612949.0,130
ULTA,468.92,22771466552.0,42
UNH,545.42,504472753308.0,36
UNM,46.18,9007207932.0,428
UNP,241.06,146949572145.0,82
UPS,156.99,135783501624.0,126
URI,548.86,37202526647.0,36
USB,43.21,67278506063.0,458
V,259.61,490770527297.0,76
VAR,177.07,16261898618.0,111
VFC,16.94,6587684864.0,1168
VIAC,29.58,19317433987.0,669
VLO,130.31,44364422872.0,151
VMC,220.68,29322499043.0,89
VNO,27.81,5292848034.0,712
VRSK,237.95,34499551476.0,83
VRSN,198.48,20264808000.0,99
VRTX,416.15,107234857022.0,47
VTR,49.26,19821275597.0,401
VZ,39.37,165515482315.0,502
WAB,123.99,22219008000.0,159
WAT,307.37,18173858920.0,64
WBA,24.26,20958568026.0,816
WDC,50.02,16101438000.0,395
WEC,85.92,27102134904.0,230
WELL,88.7,49092711033.0,223
WFC,49.28,180304842847.0,401
WHR,118.16,6481431780.0,167
WLTW,231.56,28853787821.0,85
WM,178.79,72012218593.0,110
WMB,35.82,43574982431.0,552
WMT,157.76,424726788985.0,125
WRB,73.17,18868496728.0,270
WRK,42.16,10814366065.0,469
WST,340.32,25180164494.0,58
WU,11.75,4281218344.0,1685
WY,33.59,24520733590.0,589
WYNN,94.21,10640642001.0,210
XEL,63.73,35167254010.0,310
XLNX,194.92,48414620999.0,101
XOM,102.32,405485758096.0,193
XRAY,35.68,7559178751.0,554
XRX,16.57,2036552403.0,1195
XYL,112.33,27080267027.0,176
YUM,128.69,36072864703.0,153
ZBH,120.2,25119481462.0,164
ZBRA,252.97,12992439024.0,78
ZION,42.64,6317064789.0,464
ZTS,194.04,89086420602.0,102
